d,delta,tx,ty,uncovered_area,num_sensors,cost,max_iter,resolution,alpha,beta,popsize
1.3578,43.43,0.9167,0.5968,0.124,44,0.5783,30,10,1.0,0.01,10
1.3734,45.16,0.5599,0.6538,0.1914,40,0.5018,30,10,0.5,0.01,10
0.8859,26.82,1.4982,1.4924,0.0641,48,0.5626,30,10,1.0,0.01,10
1.4722,43.07,1.2899,0.4227,0.2565,144,1.7026,30,10,1.0,0.01,5
1.0505,51.96,0.7614,0.4679,0.0058,295,0.0372,30,10,1.0,0.01,5
1.3478,44.78,0.1743,1.4745,0.0634,183,0.326,30,10,0.8,0.2,5
1.3497,43.49,0.1969,1.2171,0.0617,183,0.3877,30,10,0.75,0.25,5
1.374,47.03,0.7374,0.2783,0.0871,174,0.4488,30,10,0.7,0.3,5
1.3522,43.09,0.4281,1.4046,0.065,181,0.4483,30,10,0.7,0.3,10
1.3896,42.84,0.5949,0.0565,0.0983,170,0.448,30,10,0.7,0.3,10
1.3299,42.76,1.0195,0.535,0.0516,188,0.3236,30,10,0.8,0.2,10
0.1049,52.98,0.7184,0.227,0.0333,204,0.3327,30,10,0.8,0.2,10
0.1166,78.05,0.544,1.3616,0.0368,204,0.3355,30,10,0.8,0.2,10
